Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AET,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,APC,ADI,ANSS,ANTM,AON,AOS,APA,AIV,AAPL,AMAT,APTV,ADM,ARNC,ANET,AJG,AIZ,T,ADSK,ADP,AZO,AVB,AVY,BHGE,BLL,BAC,BK,BAX,BBT
2010-01-04,66.70631408691406,18.61043930053711,,8.739999771118164,34.745800018310554,10.275106430053713,37.09000015258789,9.699999809265137,39.479923248291016,11.311010360717773,30.01917839050293,68.18785858154297,19.13309097290039,20.714509963989254,59.62095260620117,25.920000076293945,7.93482494354248,33.42014694213867,48.45236587524414,24.125,18.5,,38.730506896972656,64.65229034423828,8.376242637634277,25.126373291015625,313.6886901855469,311.3499755859375,12.965190887451172,133.89999389648438,19.02423858642578,4.5822038650512695,24.362995147705078,35.76515579223633,22.71386337280273,38.37512588500977,17.894126892089844,32.682449340820305,23.46175193786621,16.048934936523438,49.064720153808594,21.086105346679688,60.52621078491211,25.02499008178711,44.63999938964844,52.51805877685547,34.066051483154304,5.2964582443237305,94.37158203125,12.399672508239744,27.095369338989254,11.917363166809082,,25.332353591918945,34.21065139770508,,16.358539581298828,25.253042221069336,17.55460548400879,25.670000076293945,29.45512390136719,158.02999877929688,61.65655517578125,29.50580978393555,27.36884117126465,12.172378540039062,14.500944137573242,24.122316360473636,23.29231834411621,20.294509887695312
2010-01-05,66.28851318359375,18.460081100463867,,8.529999732971191,34.96052932739258,10.293293952941896,37.70000076293945,9.710000038146973,39.24527359008789,11.195165634155273,29.59163856506348,68.73233795166016,19.688135147094727,20.48949241638184,59.12627792358398,26.690000534057614,8.369451522827147,33.358726501464844,47.9415397644043,23.78000068664551,18.010000228881836,,38.34599304199219,64.77986145019531,8.572193145751951,25.53950119018555,312.30731201171875,309.9788818359375,12.97174072265625,134.69000244140622,18.948850631713867,5.100943565368652,24.08408546447754,35.686500549316406,22.28831672668457,39.010887145996094,18.075824737548828,33.44460678100586,23.29435920715332,15.978253364562988,48.63969802856445,20.645471572875977,62.227783203125,24.985483169555664,43.63999938964844,53.08938217163086,33.85055923461914,5.228784084320068,95.48584747314452,12.710439682006836,27.14221000671387,11.825693130493164,,25.46919822692871,33.14220428466797,,16.270626068115234,26.00661849975586,17.468612670898438,25.28000068664551,29.29694557189941,156.7100067138672,61.19337463378906,29.69797134399414,28.97487068176269,12.035558700561525,14.972290992736815,24.37812042236328,23.132476806640625,20.58543968200684
2010-01-06,67.22857666015625,18.562599182128906,,8.399999618530272,35.332191467285156,10.238736152648926,37.61999893188477,9.56999969482422,39.58748245239258,11.079326629638672,29.47337532043457,70.07867431640625,19.861087799072266,20.416698455810547,58.63875198364258,26.46999931335449,8.294361114501951,33.42014694213867,47.68994903564453,23.84000015258789,17.479999542236328,,38.470951080322266,65.10365295410156,8.638428688049316,25.54775619506836,304.4344482421875,302.1647033691406,13.16172981262207,132.25,18.818639755249023,4.889605522155762,24.32813835144043,36.26335525512695,22.14392852783203,39.2139892578125,18.17063331604004,33.911739349365234,23.074106216430664,15.994881629943848,48.2741813659668,20.723506927490234,62.77000427246094,24.938077926635746,43.349998474121094,53.95077896118164,33.841590881347656,5.231156826019287,96.9833755493164,12.935748100280762,26.71048164367676,11.80069065093994,,25.40480613708496,34.8681640625,,16.277950286865234,25.93125343322754,17.213001251220707,25.34000015258789,29.22817420959473,155.24000549316406,60.6163215637207,29.6339111328125,30.42162704467773,12.05874729156494,15.147893905639648,24.0114688873291,23.21239852905273,21.02040100097656
2010-01-07,67.27679443359375,18.716371536254886,,8.399999618530272,35.29915237426758,9.993223190307617,36.88999938964844,9.470000267028807,39.57769775390625,11.087601661682127,30.410341262817386,69.76189422607422,20.07425880432129,20.39022254943848,58.3017807006836,26.479999542236328,8.251124382019043,33.18325042724609,48.13214874267578,23.93000030517578,17.430000305175778,,38.16334915161133,65.70219421386719,8.685348510742188,25.67996406555176,297.34735107421875,295.1304626464844,13.14207649230957,130.0,18.640460968017575,5.033698558807373,24.537322998046875,36.851505279541016,21.71837615966797,39.1080207824707,18.210134506225586,34.165782928466804,22.70407676696777,16.036457061767578,47.83215713500977,20.585803985595703,62.66716003417969,24.74053382873535,43.459999084472656,55.95479965209961,33.742828369140625,5.246593475341797,95.5125961303711,13.409669876098633,26.66110420227051,11.675686836242676,,25.13915824890137,34.128475189208984,,16.175395965576172,26.24942970275879,17.019733428955078,25.479999542236328,29.214412689208984,157.3000030517578,60.73781204223633,29.91417121887207,30.640628814697266,12.03091812133789,15.646970748901367,25.026159286499023,23.58801460266113,21.866588592529297
2010-01-08,67.75086975097656,18.812055587768555,,8.229999542236326,35.15875625610352,9.91138744354248,36.68999862670898,9.43000030517578,39.73412322998047,11.402024269104006,29.74627494812012,69.11842346191406,19.87315559387207,20.383602142333984,58.67458724975586,26.479999542236328,8.087284088134767,33.68335723876953,47.9720344543457,23.97500038146973,17.65999984741211,,37.884559631347656,66.40868377685547,8.853702545166016,25.787376403808594,301.3113098144531,299.06488037109375,13.174834251403807,133.52000427246094,18.510255813598636,4.937635898590088,24.83017921447754,36.82516098022461,22.2959098815918,39.18748474121094,18.17063331604004,34.288707733154304,22.95075798034668,16.348289489746097,48.25717544555664,20.73727035522461,62.69523239135742,24.88276481628418,43.7599983215332,56.200904846191406,34.02117156982422,5.3237648010253915,95.0134048461914,13.09890365600586,26.83835601806641,12.125712394714355,,24.825225830078125,34.97088623046875,,16.219350814819336,26.26618003845215,16.895048141479492,26.26000022888184,29.17315673828125,155.27999877929688,60.28219604492188,30.482666015625,31.25782012939453,12.074980735778807,15.508334159851074,25.17963981628418,23.64395523071289,21.62143325805664
2010-01-11,67.47768402099611,18.907739639282227,,8.079999923706055,35.125717163085945,9.902295112609863,36.209999084472656,9.140000343322754,39.343040466308594,11.476494789123535,29.78266143798828,69.58370208740234,20.396026611328125,20.39683723449707,59.7499885559082,26.38999938964844,8.037221908569336,33.534202575683594,48.2236442565918,23.82999992370605,17.540000915527347,,38.23061752319336,66.47735595703125,8.834382057189941,25.787376403808594,300.8558654785156,298.6128234863281,13.273103713989258,130.30999755859378,18.66102409362793,4.8415727615356445,25.088176727294922,36.40380859375,22.51628303527832,38.83428192138672,18.35234260559082,34.73125457763672,23.20625877380371,16.443918228149414,48.46968460083008,20.78776359558105,61.99404907226562,24.74053382873535,43.93000030517578,56.52612686157226,34.164833068847656,5.298832416534424,95.29864501953124,13.19990062713623,26.601600646972656,12.392393112182615,,24.841331481933594,35.85441207885742,,16.241329193115234,26.450382232666016,16.814002990722653,26.25,29.30381965637207,155.47999572753906,61.10987854003906,30.9951171875,30.92599868774414,12.01236629486084,15.646970748901367,24.74477386474609,23.508100509643555,21.62143325805664
2010-01-12,67.53392028808594,18.85306167602539,,7.889999866485597,34.90271759033203,9.793177604675293,35.65999984741211,8.649999618530272,38.65864181518555,11.344103813171387,27.84506416320801,69.06891632080078,20.29144859313965,20.15196990966797,58.99005126953125,26.15999984741211,8.216991424560549,33.06917953491211,48.29226303100586,23.5,17.229999542236328,,38.18257522583008,65.38821411132811,8.837141990661621,25.762584686279297,295.5355224609375,293.3321533203125,13.201035499572756,127.3499984741211,18.640460968017575,4.87999963760376,24.83715057373047,36.88660430908203,21.627182006835934,38.35747146606445,18.265438079833984,34.173980712890625,23.364845275878906,16.107135772705078,47.62813949584961,20.33335876464844,59.96526336669922,23.71330070495605,42.7400016784668,55.779014587402344,34.110958099365234,5.262026786804199,93.85458374023438,12.858055114746096,26.29900932312012,11.834027290344238,,24.575687408447266,31.88886260986328,,16.336557388305664,26.20756721496582,16.807769775390625,25.88999938964844,29.09751319885254,155.13999938964844,59.67476272583008,30.674840927124023,30.33535194396973,11.993815422058105,15.120169639587402,24.78740501403809,23.87972068786621,21.692609786987305
2010-01-13,67.31697082519531,19.183961868286133,,7.960000038146973,35.29915237426758,9.92047882080078,36.27999877929688,9.149999618530273,39.19638442993164,11.65025520324707,27.97241973876953,69.81137847900389,20.51266860961914,20.31079864501953,59.57792663574219,26.040000915527344,8.496883392333983,33.402591705322266,48.421875,23.56999969482422,17.579999923706055,,39.307273864746094,65.36859130859375,8.919938087463379,25.993932723999023,293.8388366699219,291.6481018066406,13.260000228881836,129.11000061035156,18.763818740844727,5.264249801635742,25.143957138061523,37.00072860717773,22.08313751220703,39.169837951660156,18.344438552856445,34.59193801879883,23.822980880737305,16.15287208557129,48.05316543579102,20.654653549194336,62.14362716674805,23.70539474487305,43.040000915527344,57.10625839233398,34.17380142211914,5.232345581054688,95.21843719482422,13.215439796447756,26.66996955871582,11.892362594604492,,24.68033599853516,32.834014892578125,,16.329235076904293,26.450382232666016,16.6082763671875,26.25,29.31069183349609,154.75,61.06431198120117,31.827844619750977,30.8928165435791,12.042512893676758,15.360465049743652,24.97499847412109,24.123470306396484,22.06430435180664
2010-01-14,67.09199523925781,19.204782485961914,,8.25,35.61299514770508,9.875014305114746,35.900001525878906,9.0,38.678199768066406,11.658529281616213,28.57280158996582,68.52444458007811,20.78214454650879,20.615236282348636,58.83949279785156,26.8799991607666,8.510537147521973,33.27098846435547,48.40662384033203,23.834999084472656,17.129999160766598,,39.5091438293457,65.43727874755861,9.01929759979248,26.14266395568848,295.22021484375,293.0191955566406,13.351716995239258,127.3499984741211,18.832351684570312,5.369920253753662,25.2415714263916,37.46597671508789,21.733572006225586,39.39057540893555,18.15483856201172,34.436222076416016,23.97275733947754,16.157028198242188,47.7386360168457,20.78776359558105,62.42411804199219,23.68168640136719,43.4900016784668,58.20495223999024,33.90443801879883,5.257277488708496,95.73542785644531,13.067824363708494,26.51550674438477,11.95903491973877,,24.744731903076172,32.484703063964844,,16.285282135009766,26.17407989501953,16.327730178833008,26.60000038146973,29.22817420959473,154.3800048828125,60.69983673095703,31.85986328125,31.54318618774414,11.986862182617188,15.545303344726562,24.940887451171875,24.65892601013184,22.554622650146484
2010-01-15,66.987548828125,19.25335121154785,,8.050000190734862,35.35696792602539,9.902295112609863,35.86999893188477,8.84000015258789,38.433780670166016,11.61715602874756,28.52731704711914,67.07911682128906,20.556915283203125,20.13873863220215,59.34133911132813,26.61000061035156,8.20561408996582,33.244659423828125,47.81193161010742,23.70499992370605,16.930000305175778,,39.316890716552734,64.40699005126953,9.027575492858887,25.53950119018555,290.290283203125,288.1260070800781,13.377923011779785,127.13999938964844,18.736404418945312,5.283463001251222,25.109088897705078,37.211402893066406,21.323219299316406,38.851951599121094,17.85462188720703,34.108421325683594,23.717254638671875,15.982410430908205,47.81515121459961,20.12222671508789,61.60138702392578,22.883604049682614,43.34000015258789,58.58290481567383,33.724864959716804,5.2169108390808105,95.96720123291016,12.764827728271484,26.072376251220703,11.44233512878418,,24.583740234375,32.11487197875977,,16.116792678833008,25.562847137451172,16.078359603881836,26.07999992370605,29.06999397277832,155.0800018310547,60.312583923339844,31.61164283752441,31.377275466918945,11.921929359436035,15.027748107910154,24.75329780578613,24.60298156738281,21.953584671020508
